OrgID,IndustryDesc,2010 Org Official Name,CEI Brands,2007 Brands,BG Category 2010,2008 Brands,2010 CEI Rating,BG Common Name,BG Brand Name - 2010,rpt2010BuyersGuideDataPullAllCo.OrgOfficialName,2010 DB PullBrands,New to Buyers Guide,Newly Rated 2010 CEI,National Corp Partner,Notes
52044,Banking and Financial Services,Ameriprise Financial Inc.,Ameriprise Financial; Ameriprise Financial Services Inc.; RiverSource,RiverSource,Banking & Finance,RiverSource,100,Ameriprise,IDS; J.W. Seligman & Co.; RiverSource,Ameriprise Financial Inc.,Ameriprise Financial; Ameriprise Financial Services Inc.; RiverSource,,,,
1141,Banking and Financial Services,Bank of America Corp.,"US Trust, Columbia Management, Bank of America Corporation, Banc of America Investments Services, Inc., Banc of America Insurance Services, Inc., Premier Banking & Investments, BA Merchant Services and MBNA.",,Banking & Finance,"LaSalle Bank; MBNA, U.S. Trust ",100,Bank of America,Countrywide Financial;  Merrill Lynch; U.S. Trust,Bank of America Corp.,"Bank of America, Bank of America Home Loans, Columbia Management, U.S. Trust, Bank of America Merrill Lynch, Merrill Lynch, Banc of America Investments Services, Inc. and Banc of America Insurance Services, Inc",,,NCP,
1152,Banking and Financial Services,"Bank of New York Mellon Corp., The",The Bank of New York Mellon; BNY Mellon Asset Management; BNY Mellon Asset Servicing; BNY Mellon Wealth Management; BNY Mellon Shareowner Services,,Banking & Finance,,100,Bank of New York Mellon,Dreyfus; Pershing,"Bank of New York Mellon Corp., The",The Bank of New York Mellon; BNY Mellon Asset Management; BNY Mellon Asset Servicing; BNY Mellon Wealth Management; BNY Mellon Issuer Services; BNY Mellon Treasury Services,,,,
1366,Banking and Financial Services,Capital One Financial Corp.,Capital One,,Banking & Finance,,100,Capital One,,Capital One Financial Corp.,"Capital One, Capital One Bank",,,,
1051,Banking and Financial Services,"Charles Schwab Corp., The",,Schwab Bank; U. S. Trust,Banking & Finance,Schwab Bank,100,Charles Schwab,,"Charles Schwab Corp., The",,,,,
1102,Banking and Financial Services,Citigroup Inc.,CITIGROUP; CITI; CITIBANK; CITIFINANCIAL; PRIMERICA; SMITH BARNEY; BANAMEX; CITI PRIVATE BANK; CITI HANDLOWY; NIKKO CITI,Banamex; Citibank; Citifinancial; Citimortgage; Primerica; SmithBarney; ,Banking & Finance,Banamex; Citibank; Citifinancial; Citimortgage; Primerica; Smith Barney; ,100,Citigroup,Citibank; Citifinancial; Citimortgage; Primerica,Citigroup Inc.,CITIGROUP; CITI; CITIBANK; CITIFINANCIAL; PRIMERICA; BANAMEX; CITI PRIVATE BANK; CITI HANDLOWY,,,NCP,
4856,Banking and Financial Services,Credit Suisse USA Inc.,,,Banking & Finance,,100,Credit Suisse,,Credit Suisse USA Inc.,,,,,
1110,Banking and Financial Services,Deutsche Bank,No info available,,Banking & Finance,,100,Deutsche Bank,,Deutsche Bank,No info available,,,,
1081,Banking and Financial Services,Fannie Mae,Fannie Mae ,,Banking & Finance,,100,Fannie Mae,,Federal National Mortgage Association (Fannie Mae),Fannie Mae ,,,,
1093,Banking and Financial Services,Freddie Mac,N/A,,Banking & Finance,,100,Freddie Mac,,Federal Home Loan Mortgage Corp. (Freddie Mac),N/A,,,,
1082,Banking and Financial Services,"Goldman Sachs Group Inc., The",N/A,,Banking & Finance,,100,Goldman Sachs,,"Goldman Sachs Group Inc., The",N/A,,,,
1149,Banking and Financial Services,Harris Bankcorp Inc.,BMO Capital Markets; Harris Private Bank;,,Banking & Finance,,100,Harris Bankcorp,BMO Capital Markets,Harris Bankcorp Inc.,BMO Capital Markets; Harris Private Bank; Harris,,,,
35667,Banking and Financial Services,HSBC - North America,HSBC; HSBC Direct; HSBC Premier; HFC; Beneficial,,Banking & Finance,Beneficial,100,HSBC,Beneficial,HSBC - North America,HSBC; HSBC Direct; HSBC Premier; HFC; Beneficial,,,,
599,Banking and Financial Services,J.P. Morgan Chase & Co.,"JPMorgan Chase, JPMorgan, Chase",Chase Home Finance,Banking & Finance,Chase,100,J.P. Morgan Chase ,Chase; Washington Mutual,J.P. Morgan Chase & Co.,"JPMorgan Chase & Co., J.P.Morgan, Chase",,,NCP-Chase,
4922,Banking and Financial Services,KeyCorp,None,,Banking & Finance,KeyBank,100,KeyCorp,KeyBank,KeyCorp,None,,,,
35924,Banking and Financial Services,MasterCard Inc.,MasterCard; MasterCard Electronic; Maestro; Mondex; Cirrus,Cirrus; Maestro,Banking & Finance,Cirrus; Maestro; Mondex,100,MasterCard ,Cirrus; Maestro; Mondex,MasterCard Inc.,MasterCard; MasterCard Electronic; Maestro; Mondex; Cirrus,,,,
1069,Banking and Financial Services,Morgan Stanley,Morgan Stanley; Van Kampen,Discover,Banking & Finance,Van Kampen,100,Morgan Stanley,Smith Barney; Van Kampen,Morgan Stanley,"Morgan Stanley; Van Kampen, Morgan Stanley Smith Barney",,,,
1083,Banking and Financial Services,Northern Trust Corp.,,,Banking & Finance,,100,Northern Trust,,Northern Trust Corp.,,,,,
52332,Banking and Financial Services,Raymond James Financial Inc.,Raymond James & Associates; Raymond James Financial Services; Raymond James Ltd.,,Banking & Finance,,100,Raymond James Financial,,Raymond James Financial Inc.,,,,,
25528,Banking and Financial Services,RBC Wealth Management,,,Banking & Finance,,100,RBC Wealth Management,,,RBC Advisor; Investment Access,x,x,,
35530,Banking and Financial Services,State Street Corp.,State Street Corporation; State Street Global Advisors,,Banking & Finance,,100,State Street,,State Street Corp.,State Street Corporation; State Street Global Advisors,,,,
1111,Banking and Financial Services,SunTrust Banks Inc.,,,Banking & Finance,,100,SunTrust,,SunTrust Banks Inc.,,,,,
52367,Banking and Financial Services,TD Bank N.A.,,,Banking & Finance,,100,TD Bank ,,,,x,x,,
1079,Banking and Financial Services,U.S. Bancorp,U.S. Bank; U.S. Bancorp; Elavon,,Banking & Finance,,100,U.S. Bancorp,,U.S. Bancorp,U.S. Bank; U.S. Bancorp; Elavon,,,,
750,Banking and Financial Services,UBS AG,UBS Investment Bank; UBS Wealth Management & Business Banking; UBS Global Asset Management;,,Banking & Finance,,100,UBS,,UBS AG,UBS Investment Bank; UBS Wealth Management & Swiss Bank; UBS Wealth Management Americas; UBS Global Asset Management;,,,,
1202,Banking and Financial Services,Visa,Visa Inc.,,Banking & Finance,,100,Visa,,Visa,Visa; Visa Business Credit; Visa Business Debit; Visa Corporate Card; Visa Purchasing Card; Visa Signature; Visa Signature Preferred; Visa Traditional; Visa Traditional Rewards,,,,
1142,Banking and Financial Services,Wells Fargo & Co.,,Wells Fargo Financial; Wells Fargo Mortgage ,Banking & Finance,Wells Fargo Financial; Wells Fargo Mortgage ,100,Wells Fargo,Wachovia; Wells Fargo Financial; Wells Fargo Mortgage ,Wells Fargo & Co.,Wachovia,,,,
35455,Banking and Financial Services,Barclays Capital,,,Banking & Finance,,95,Barclays Capital,,Barclays Capital,,,,,
52024,Banking and Financial Services,Canadian Imperial Bank of Commerce,,,Banking & Finance,,95,CIBC,,Canadian Imperial Bank of Commerce,,,,,
15019,Banking and Financial Services,Morningstar Inc.,,,Banking & Finance,,95,Morningstar,,Morningstar Inc.,,,,,
1108,Insurance,Principal Financial Group,Principal Bank; Principal Life Insurance; Principal Financial Services; Princor Financial Services; Principal Global Investors ,,Banking & Finance,,95,Principal Financial ,,Principal Financial Group,Principal Bank; Principal Life Insurance; Principal Financial Services; Principal Funds; Principal Global Investors ,,,,
1921,Banking and Financial Services,E*TRADE Financial Corp.,,,Banking & Finance,,93,E*TRADE Financial ,,E*TRADE Financial Corp.,,,,,
52545,Banking and Financial Services,Robert W. Baird & Co. Incorporated,,,Banking & Finance,,90,Robert W. Baird & Co.,,,Robert W. Baird; Baird Advisors; Baird Capital Partners; Baird Venture Partners; Granville Baird Capital Partners; Baird Capital Partners Europe; and Baird.,x,x,,
14548,Banking and Financial Services,PNC Financial Services Group Inc.,PNC Bank,,Banking & Finance,,85,PNC ,,"PNC Financial Services Group Inc., The",PNC Bank,,,,
35660,Banking and Financial Services,AmTrust Bank,AmTrust Bank,,Banking & Finance,,83,AmTrust Bank,,AmTrust Bank,AmTrust Bank,,,,
392,Banking and Financial Services,Comerica Inc.,Comerica Bank,,Banking & Finance,,80,Comerica,,Comerica Inc.,Comerica Bank,,,,
14751,Banking and Financial Services,Fifth Third Bancorp,,,Banking & Finance,,80,Fifth Third Bancorp,,Fifth Third Bancorp,,,,,
1828,Miscellaneous,General Electric Co.,Lighting;Appliances;Energy;Oil & Gas;Aviation;GE Money; Commericial Finance; Healthcare; NBC Universal;Transportation Rail; Security ,,Banking & Finance,,80,General Electric,GE Money,General Electric Co.,Lighting;Appliances;Energy;Oil & Gas;Aviation;GE Capital; Commericial Finance; Healthcare; NBC Universal;Transportation Rail; Security ,,,,
43616,Banking and Financial Services,Huntington BaNCPhares,"Huntington BaNCPhares Incorporated, Huntington National Bank, Huntington Insurance, Huntington Investment Company",,Banking & Finance,,75,Huntington Bancshares,,Huntington BaNCPhares Inc.,"Huntington BaNCPhares Incorporated, Huntington National Bank, Huntington Insurance, Huntington Investment Company",,,,
14555,Banking and Financial Services,BB&T Corp.,,,Banking & Finance,,73,BB&T ,,BB&T Corp.,,,,,
1511,Insurance,John Hancock Financial Services Inc.,,,Banking & Finance,,73,John Hancock ,,John Hancock Financial Services Inc.,,,,,
548,Banking and Financial Services,H&R Block,,,Banking & Finance,,65,H&R Block,,H&R Block Inc.,,,,,
13441,Banking and Financial Services,Sallie Mae,,,Banking & Finance,,60,Sallie Mae,,SLM Corp. (Sallie Mae),,,,,
54973,Banking and Financial Services,Discover Financial Services,"Discover Card, Discover Network, Pulse, Diner's Club",,Banking & Finance,,58,Discover Financial Services,Diner's Club; Pulse,Discover Financial Services,"Discover Card, Discover Network, Pulse, Diner's Club",,,,
15022,Banking and Financial Services,Chamberlin Edmonds & Associates Inc.,,,Banking & Finance,,53,Chamberlin Edmonds,,Chamberlin Edmonds & Associates Inc.,,,,,
8697,Banking and Financial Services,Franklin Resources Inc.,,,Banking & Finance,,50,Franklin Resources ,Franklin Templeton,Franklin Resources Inc.,,,,,
1668,Banking and Financial Services,"Dun & Bradstreet Corp., The",,,Banking & Finance,,35,D&B ,Hoovers,"Dun & Bradstreet Corp., The",,,,,
4904,Insurance,Berkshire Hathaway Inc.,,,Eating Out,,?,Berkshire Hathaway,Dairy Queen,,,,,,
52470,"Food, Beverages and Groceries",Bob Evans Farms Inc.,,,Eating Out,,?,Bob Evans,,,,x,,,
52256,"Food, Beverages and Groceries",Jack in the Box Inc.,,,Eating Out,,?,Jack in the Box,,,,x,,,
52300,"Food, Beverages and Groceries","OSI Restaurant Partners, Inc.",,,Eating Out,,?,OSI Restaurant Partners,Bonefish Grill; Carrabba's Italian Grill; Cheeseburger in Paradise; Fleming's Prime Steakhouse,Bonefish Grill; Carrabba's Italian Grill; Cheeseburger in Paradise; Fleming's Prime Steakhouse,,x,,,
19685,"Food, Beverages and Groceries",Wendy's International Inc.,,,Eating Out,,?,Wendy's,,Baja Fresh Mexican Grill; Tim Hortons; Café Express,Wendy's; Baja Fresh Mexican Grill; Tim Hortons; Cafe Express,x,,,
